drug_name,active_ingredient,category
ZOFRAN 4 MG/2 ML IM/IV ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ,ONDANSETRON HİDROKLORÜR DİHİDRAT,Diğer / Sınıflandırılamadı
ZOFRAN 8 MG/4 ML IM/IV ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ,ONDANSETRON HİDROKLORÜR DİHİDRAT,Diğer / Sınıflandırılamadı
ZOFRAN 4 MG FILM TABLET,ONDANSETRON HİDROKLORÜR DİHİDRAT,Diğer / Sınıflandırılamadı
ZOFRAN 8 MG FILM TABLET,ONDANSETRON HİDROKLORÜR DİHİDRAT,Diğer / Sınıflandırılamadı
DEXPADU 25 MG / 500 MG FILM KAPLı TABLET,"DEKSKETOPROFEN TROMETAMOL, PARASETAMOL",Ağrı Kesici
METEOSPASMYL® 60 MG/300 MG YUMUşAK KAPSüL,"ALVERIN SITRAT, SIMETIKON",Diğer / Sınıflandırılamadı
OSCADE 1000 MG + 880 IU EFERVESAN GRANüL IçEREN SAşE,"KALSIYUM KARBONAT, VITAMIN D3",Diğer / Sınıflandırılamadı
NIMELID JEL % 1,NIMESULID,Diğer / Sınıflandırılamadı
BABINOKS 120 MG/5 ML  PEDIYATRIK ŞURUP,PARASETAMOL,Ağrı Kesici
HYDRYLLIN 14MG/5ML  COMPOUND ŞURUP,DIFENHIDRAMIN HIDROKLORüR,Diğer / Sınıflandırılamadı
RAXERİN 100 MG KAPSÜL,RASEKADOTRİL,Diğer / Sınıflandırılamadı
PEDİPAR® PLUS 250 MG / 5 ML SüSPANSIYON,PARASETAMOL,Ağrı Kesici
MEBUCAIN 2 MG/1 MG NANELI PASTIL,"SETILPIRIDINYUM KLORÜR,LIDOKAIN KLORÜR",Diğer / Sınıflandırılamadı
COMBISAR 10/160MG FILM KAPLI TABLET,"VALSARTAN, AMLODIPIN BESILAT",Kalp/Tansiyon
PEDIPAR 120 MG / 5 ML PEDIATRIK SüSPANSIYON,PARASETAMOL,Ağrı Kesici
BRECUR 2.5 MG/2.5 ML  NEBÜLİZASYON İÇİN İNHALASYON ÇÖZELTİSİ,SALBUTAMOL SüLFAT,Solunum
METFORIX 1000 MG FILM TABLET,METFORMIN HCL,Diğer / Sınıflandırılamadı
METFORIX 850 MG FILM TABLET,METFORMIN HIDROKLORüR,Diğer / Sınıflandırılamadı
PF  60MG/ML  DEKSTRAN  70  9  MG/ML  İZOTONİK  SODYUM KLORÜR  İV  İNFÜZYON  İÇİN  ÇÖZELTİ,"DEKSTRAN, SODYUM KLORÜR",Diğer / Sınıflandırılamadı
PF  60MG/ML  DEKSTRAN  70  9  MG/ML  İZOTONIK  SODYUM  KLORüR  İV  İNFüZYON  İçIN  ÇöZELTI,"DEKSTRAN, SODYUM KLORÜR",Diğer / Sınıflandırılamadı
TREMAC 500 MG FILM TABLET,AZİTROMİSİN DİHİDRAT,Antibiyotik
SERUM FİZYOLOJİK İZOTONİK %0.9 ENJEKSİYONLUK ÇÖZELTİ,SODYUM KLORÜR,Diğer / Sınıflandırılamadı
AZOMAX 200MG/5ML ORAL SüSPANSIYON HAZıRLAMAK İçIN TOZ,AZITROMISIN DIHIDRAT,Diğer / Sınıflandırılamadı
ADı: SERUM FIZYOLOJIK IZOTONIK 9 MG/ML AMPUL,SODYUM KLORüR,Diğer / Sınıflandırılamadı
ROVAMYCINE 3 MIU FILM KAPLI TABLET,SPIRAMISIN,Diğer / Sınıflandırılamadı
SPAZMOTEK IM/IV/SC ENJEKSIYONLUK ÇÖZELTİ İÇEREN AMPUL,HIYOSIN-N-BUTILBROMÜR,Diğer / Sınıflandırılamadı
JECTERA 10 MCG  ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN LIYOFILIZE  TOZ VE çöZüCü,ALPROSTADIL,Diğer / Sınıflandırılamadı
KETAX 500MG/10ML ENJEKSİYONLUK/İNFÜZYONLUK ÇÖZELTİ,KETAMİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
ZINVITAL 15 MG/5 ML ŞURUP,ÇINKO SüLFAT HEPTAHIDRAT,Diğer / Sınıflandırılamadı
JECTERA 20 MCG  ENJEKSIYONLUK çöZELTI HAZıRLAMAK IçIN LIYOFILIZE  TOZ VE çöZüCü,ALPROSTADIL,Diğer / Sınıflandırılamadı
"OLADİN % 0.1 GÖZ DAMLASI, ÇÖZELTİ",OLOPATADİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
DEXPADU 50 MG / 500 MG FILM KAPLı TABLET,"DEKSKETOPROFEN TROMETAMOL, PARASETAMOL",Ağrı Kesici
ZİNCLOMİN FORT 30 MG/5 ML ŞURUP,ÇİNKO SÜLFAT HEPTAHİDRAT,Diğer / Sınıflandırılamadı
TİOCURE %1 KREM,TIOKONAZOL,Diğer / Sınıflandırılamadı
PRAMİTU 0.25MG TABLET,PRAMİPEKSOL DİHİDROKLORÜR MONOHİDRAT,Diğer / Sınıflandırılamadı
PRAMİTU 1MG TABLET,PRAMİPEKSOL DİHİDROKLORÜR MONOHİDRAT,Diğer / Sınıflandırılamadı
LİMEXİD 2 MG/ 1 ML IV INFÜZYON IÇIN ÇÖZELTI IÇEREN FLAKON,LİNEZOLİD,Diğer / Sınıflandırılamadı
DIAMICRON MR 30 MG DEĞİŞTİRİLMİŞ SALIMLI TABLET,GLIKLAZID,Diğer / Sınıflandırılamadı
PARKOFF 20 MG/2 ML ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI,APOMORFIN HIDROKLORüR,Diğer / Sınıflandırılamadı
DIAMICRON MR 60 MG DEĞIŞTIRILMIŞ SALIMLI TABLET,GLIKLAZID,Diğer / Sınıflandırılamadı
MICTONORM 5 MG KAPLI TABLET,PROPIVERIN HIDROKLORüR,Diğer / Sınıflandırılamadı
PURİDAT 24 MG/5 ML ORAL  SÜSPANSİYON HAZIRLAMAK İÇİN  GRANÜL,TRIMEBUTIN MALEAT,Diğer / Sınıflandırılamadı
"RIPESIL 0,5 MG FİLM TABLET",RISPERIDON,Diğer / Sınıflandırılamadı
RIPESIL 3 MG FİLM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
RIPESIL 6 MG FİLM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
RIPESIL  1  MG  FILM  TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
RIPESIL 2 MG FILM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
RİPESİL 4 MG FILM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
GERALGİNE HOT 500 MG+60 MG+4 MG/11 G TEK KULLANIMLIK GRANÜL İÇEREN POŞET,PARASETAMOL+KLORFENIRAMIN MALEAT+PSÖDOEFEDRIN HCL,Ağrı Kesici
L-CETAM 500 MG FİLM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
MEDASET 120 MG/5 ML PEDIATRIK ŞURUP,PARASETAMOL,Ağrı Kesici
L-CETAM 250 MG FİLM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
L-CETAM 750 MG FİLM KAPLI TABLET,LEVETIRASETAM,Diğer / Sınıflandırılamadı
ENBREL 25 MG ENJEKSIYONLUK SOLÜSYON IÇIN TOZ,ETANERCEPT,Diğer / Sınıflandırılamadı
EMOCLOT 1000 IU/10 ML IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ VE ÇÖZÜCÜ,FAKTÖR VIII,Diğer / Sınıflandırılamadı
EMOCLOT 500 IU/10 ML IV İNFÜZYONLUK ÇÖZELTİ HAZIRLAMAK İÇİN TOZ VE ÇÖZÜCÜ,FAKTÖR VIII,Diğer / Sınıflandırılamadı
DUPCİN 500 MG ENJEKSIYONLUK ÇöZELTI İçIN TOZ İçEREN FLAKON,DAPTOMISIN,Diğer / Sınıflandırılamadı
DUPCİN 350 MG ENJEKSIYONLUK ÇöZELTI İçIN TOZ İçEREN FLAKON,DAPTOMISIN,Diğer / Sınıflandırılamadı
CHINKO 15MG/5ML ŞURUP,ÇINKO SÜLFAT HEPTAHIDRAT,Diğer / Sınıflandırılamadı
TETADİF 0.5 ML IM ENJEKSIYONLUK SüSPANSIYON,PüRIFIYE TETANOZ TOKSOIDI PüRIFIYE DIFTERI TOKSOIDI,Diğer / Sınıflandırılamadı
BUDENOSIN DISCAIR 400 MCG İNHALASYON İÇİN TOZ,BUDESONID,Diğer / Sınıflandırılamadı
ISOFLURANE USP INHALASYON IÇIN SOLÜSYON,İSOFLURAN,Diğer / Sınıflandırılamadı
CHINKO FORT 30 MG / 5 ML ŞURUP,ÇINKO SüLFAT HEPTAHIDRAT,Diğer / Sınıflandırılamadı
"İPRALEV 20 MCG/50 MCG AEROSOL İNHALASYONU, SüSPANSIYON",İPRATROPIUM BROMüR  LEVOSALBUTAMOL SüLFAT,Solunum
İNAPROL FORT 500 MG TABLET,NAPROKSEN,Ağrı Kesici
EVEPTIN 800 MG FILM TABLET,GABAPENTIN,Diğer / Sınıflandırılamadı
EVEPTIN 600 MG FILM TABLET,GABAPENTIN,Diğer / Sınıflandırılamadı
EVEPTIN 400 MG FILM TABLET,GABAPENTIN,Diğer / Sınıflandırılamadı
METAZON %0.1 MERHEM,BETAMETAZON,Diğer / Sınıflandırılamadı
EVEPTIN 300 MG FILM TABLET,GABAPENTIN,Diğer / Sınıflandırılamadı
EVEPTIN 100 MG FILM TABLET,GABAPENTIN,Diğer / Sınıflandırılamadı
"BRİMOLİX %0.15 GöZ DAMLASı, çöZELTI",BRIMONIDIN TARTARAT,Diğer / Sınıflandırılamadı
"ZYPREXA 7,5 MG FILM KAPLI TABLET",OLANZAPIN,Diğer / Sınıflandırılamadı
DEKSTRAN-40 İZOTONIK SODYUM KLORüR ÇöZELTISI,DEKSTRAN - SODYUM KLORÜR,Diğer / Sınıflandırılamadı
ZİNCLOMİN 15MG/5ML ŞURUP,ÇİNKO SÜLFAT,Diğer / Sınıflandırılamadı
SETAPAR 120 MG/5 ML ŞURUP,PARASETAMOL,Ağrı Kesici
FERLIL 100 MG/5 ML ORAL ÇöZELTI,ELEMENTER DEMİR,Diğer / Sınıflandırılamadı
MADESCAR %1 MERHEM (SANTA),CENTELLA ASIATICA EKSTRESI,Diğer / Sınıflandırılamadı
"DIKLO-S % 4 SPREY ,ÇÖZELTİ",DIKLOFENAK SODYUM,Diğer / Sınıflandırılamadı
FAVİRA 200 MG FILM KAPLı TABLET,FAVIPIRAVIR,Diğer / Sınıflandırılamadı
FAVIMOL 200 MG FILM KAPLı TABLET,FAVIPIRAVIR,Diğer / Sınıflandırılamadı
GADOTU 287 MG/ML IV ENJEKSİYON İÇİN ÇÖZELTİ İÇEREN FLAKON,GADODİAMİD,Diğer / Sınıflandırılamadı
MYACİT  50  MG  INFüZYONLUK çöZELTI HAZıRLAMAK IçIN TOZ,MIKAFUNGIN,Diğer / Sınıflandırılamadı
MYACİT  100  MG  INFüZYONLUK çöZELTI HAZıRLAMAK IçIN TOZ,MIKAFUNGIN,Diğer / Sınıflandırılamadı
KOPARIN 25000 IU/5 ML IV ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,HEPARIN SODYUM,Diğer / Sınıflandırılamadı
RESTAFEN 1 G/2 ML İ.M. ENJEKSIYONLUK ÇÖZELTI IÇEREN AMPUL,ETOFENAMAT,Diğer / Sınıflandırılamadı
GEMYSETİN %1 GÖZ MERHEMİ,KLORAMFENİKOL,Diğer / Sınıflandırılamadı
ZİNOBEST FORT 30 MG/5 ML  ŞURUP,ÇİNKO SÜLFAT HEPTAHİDRAT,Diğer / Sınıflandırılamadı
ROFLOXAN 200 MG /100 ML IV INFüZYON IçIN  çöZELTI IçEREN FLAKON,OFLOKSASIN HIDROKLORüR,Diğer / Sınıflandırılamadı
SPOREX 100 MG MIKROPELLET KAPSüL,İTRAKONAZOL,Diğer / Sınıflandırılamadı
ZİNOBEST 15 MG / 5 ML ŞURUP,ÇINKO SÜLFAT HEPTAHIDRAT,Diğer / Sınıflandırılamadı
İPRAVENT 0.5MG /2.5ML + 2.5MG/2.5ML NEBüLIZASYON İçIN İNHALASYON ÇöZELTISI,İPRATROPIUM BROMüR MONOHIDRAT VE SALBUTAMOL SüLFAT,Solunum
ASİST 200 MG KAPSÜL,ASETILSISTEIN,Diğer / Sınıflandırılamadı
SEREBİL ORAL DAMLA,GİNKGO BİLOBA YAPRAKLARI KURU EKSTRESİ,Diğer / Sınıflandırılamadı
ANAFRANİL-SR 75 MG BÖLÜNEBİLİR TABLET,KLOMİPRAMİN,Diğer / Sınıflandırılamadı
ANAFRANİL 25 MG DRAJE,KLOMİPRAMİN,Diğer / Sınıflandırılamadı
ANAFRANİL 10 MG DRAJE,KLOMİPRAMİN,Diğer / Sınıflandırılamadı
SEREBİL 40 MG FİLM KAPLI TABLET,GİNKGO BİLOBA L. YAPRAKLARI KURU EKSTRESİ,Diğer / Sınıflandırılamadı
ASEGAN 500 MG TABLET,ASETİLSALİSİLİK ASİT,Ağrı Kesici
LARGOPEN 1 G ENJEKTABL FLAKON,AMOKSISILIN,Diğer / Sınıflandırılamadı
LARGOPEN 500 MG ENJEKTABL FLAKON,AMOKSİSİLİN SODYUM,Antibiyotik
ARITMAL %10 I.M./I.V ENJEKSİYONLUK ÇÖZELTİ,LIDOKAIN HIDROKLORÜR,Diğer / Sınıflandırılamadı
ARITMAL %2 I.M./I.V./S.C. ENJEKSİYONLUK ÇÖZELTİ,LIDOKAIN HIDROKLORÜR,Diğer / Sınıflandırılamadı
CLOPIXOL 10 MG FİLM KAPLI TABLET,ZUKLOPENTIKSOL  DIHIDROKLORüR,Diğer / Sınıflandırılamadı
"OLAMİS 6,65 MG/ML NAZAL SPREY, çöZELTI",OLOPATADIN HIDROKLORüR,Diğer / Sınıflandırılamadı
CARPLATU 50 MG/5 ML IV İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,KARBOPLATİN,Diğer / Sınıflandırılamadı
CARPLATU 150 MG/15 ML IV İNFÜZYON ÇÖZELTİSİ İÇEREN FLAKON,KARBOPLATİN,Diğer / Sınıflandırılamadı
CARPLATU 450MG/45ML IV İNFÜZYON ÇÖZELTISI İÇEREN FLAKON,KARBOPLATIN,Diğer / Sınıflandırılamadı
LAROXYL 10 MG FILM KAPLı TABLET,AMITRIPTILIN,Diğer / Sınıflandırılamadı
LAROXYL 25 MG FILM KAPLı TABLET,AMİTRİPTİLİN,Diğer / Sınıflandırılamadı
FUMAST 1MG/5ML ŞURUP,KETOTIFEN HIDROJEN FUMARAT,Diğer / Sınıflandırılamadı
PARAKS 40 MG/5 ML ŞURUP,LEVAMIZOL HIDROKLORüR,Diğer / Sınıflandırılamadı
ALZAMED 5 MG FILM TABLET,DONEPEZİL HİDROKLORÜR,Diğer / Sınıflandırılamadı
PELUMM ORAL ÇÖZELTİ,PELARGONİUM SİDOİDES KÖKÜ KURU EKSTRESİ,Diğer / Sınıflandırılamadı
"PANTENOL PLUS %5+%0,5 KREM",DEKSPANTENOL+KLORHEKSİDİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
MYESED 10MG FILM TABLET,TADALAFİL,Diğer / Sınıflandırılamadı
PROTİNUM 40 MG ENTERIK TABLET,PANTOPRAZOL SODIUM SESKIHIDRAT,Mide
BRONKOLIN 200 MG  DEğIşTIRILMIş SALıMLı TABLET,TEOFİLİN,Diğer / Sınıflandırılamadı
MUSCOMED 4 MG/2 ML İ.M. ENJEKSİYON İÇİN ÇÖZELTİ İÇEREN AMPUL,TİYOKOLŞİKOSİD,Diğer / Sınıflandırılamadı
SİTOREL MR 35MG DEĞİŞTİRİLMİŞ SALIMLI FİLM TABLET,TRİMETAZİDİN DİHİDROKLORÜR,Diğer / Sınıflandırılamadı
FEMARA 2.5 MG FILM KAPLI TABLET,LETROZOL,Diğer / Sınıflandırılamadı
DEPAKİN CHRONO BT 500 MG UZUN ETKILI  FILM TABLET,"SODYUM VALPROAT, VALPROIK  ASIT",Diğer / Sınıflandırılamadı
PODORA 200 MG FILM KAPLı TABLET,SEFPODOKSIM PROKSETIL,Diğer / Sınıflandırılamadı
PODORA 100 MG FILM KAPLı TABLET,SEFPODOKSIM PROKSETIL,Diğer / Sınıflandırılamadı
ACT 100 MG TEK DOZLUK EFERVESAN GRANüL   İçEREN POşET,ASETILSISTEIN,Diğer / Sınıflandırılamadı
ACT 200 MG TEK DOZLUK EFERVESAN GRANüL  İçEREN POşET,ASETILSISTEIN,Diğer / Sınıflandırılamadı
"DEPAKİN 57,64 MG/ML ŞURUP",SODYUM VALPROAT,Diğer / Sınıflandırılamadı
VENTOPİUM PLUS 0.5MG+2.5MG/2.5ML NEBÜLİZASYON İÇİN İNHALASYON ÇÖZELTİSİ,"İPRATROPİUM BROMÜR MONOHİDRAT, SALBUTAMOL SÜLFAT",Solunum
ZİNCO-K 15 MG/5 ML ŞURUP,ÇİNKO SÜLFAT HEPTAHİDRAT,Diğer / Sınıflandırılamadı
TAVEGYL 1 MG TABLET,KLEMASTINE,Diğer / Sınıflandırılamadı
PF HIPERALAMINE %10 AMINO ASIT İ.V. İNFÜZYON İÇIN ÇÖZELTI,AMINO ASIT KOMPLEKSI,Diğer / Sınıflandırılamadı
"PF HİPERALAMİNE %8,5 AMİNO ASİT İ.V. İNFÜZYON İÇİN ÇÖZELTİ",AMİNO ASİT KOMPLEKSİ,Diğer / Sınıflandırılamadı
RECTUS 161 MG/ML +59 MG/ML REKTAL ÇöZELTI,"MONOBAZIK SODYUM FOSFAT ANHIDROZ, DIBAZIK SODYUM FOSFAT ANHIDROZ",Diğer / Sınıflandırılamadı
ZOLOPOROZ 5MG/100ML İV İNFÜZYON İÇİN ÇÖZELTİ İÇEREN FLAKON,ZOLEDRONİK ASİT MONOHİDRAT,Diğer / Sınıflandırılamadı
OSTRİOL 2 MCG/ML İ.V. ENJEKSIYONLUK çöZELTI IçEREN AMPUL,KALSITRIOL,Diğer / Sınıflandırılamadı
PF PEDİATRİAMİNE %6 AMİNO ASİT İV İNFÜZYON İÇİN ÇÖZELTİ,AMİNO ASİT KOMPLEKSİ,Diğer / Sınıflandırılamadı
"VOLİZOLEN (HES 130/0,4) %6 ELEKTROLİT I.V. İNFÜZYON İÇİN ÇÖZELTİ","HIDROKSIETIL NIşASTA, SODYUM KLORüR, SODYUM ASETAT TRIHIDRAT, POTASYUM KLORüR, MAGNEZYUM KLORüR HEKZAHIDRAT",Diğer / Sınıflandırılamadı
LEVOKAST 5 MG/10 MG FİLM KAPLI TABLET,LEVOSETIRIZIN DIHIDROKLORüR - MONTELUKAST,Solunum
LORNOX 8 MG I.M/I.V. ENJEKSIYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ VE ÇöZüCü,LORNOKSIKAM,Diğer / Sınıflandırılamadı
XORLAC ŞURUP,TERBUTALIN SüLFAT,Diğer / Sınıflandırılamadı
PRONAT 500 MG+267 MG+160 MG/10 ML ORAL SüSPANSIYON,"SODYUM ALJINAT, SODYUM BIKARBONAT, KALSIYUM KARBONAT",Diğer / Sınıflandırılamadı
DEXOJECT 8 MG/2 ML IM/IV ENJEKSIYONLUK  ÇöZELTI,DEKSAMETAZON-21-FOSFAT,Diğer / Sınıflandırılamadı
ALDARA %5 KREM,İMIKIMOD,Diğer / Sınıflandırılamadı
"OCERAL % 1 DERIYE UYGULANACAK SPREY, çöZELTI",OKSIKONAZOL NITRAT,Diğer / Sınıflandırılamadı
PANTO 40 MG ENTERIK KAPLI TABLET,PANTOPRAZOL,Mide
CAPD 2 STAY SAFE PERITON DIYALIZ SOLÜSYONU,"SODYUM KLORÜR, SODYUM LAKTAT, KALSİYUM KLORÜR, MAGNEZYUM KLORÜR VE GLUKOZ",Diğer / Sınıflandırılamadı
CAPD 3 STAY SAFE PERITON DIYALIZ SOLÜSYONU,"SODYUM KLORÜR, SODYUM LAKTAT, KALSİYUM KLORÜR, MAGNEZYUM KLORÜR VE GLUKOZ",Diğer / Sınıflandırılamadı
CAPD 4 STAY SAFE PERITON DIYALIZ SOLÜSYONU,"SODYUM KLORÜR, SODYUM LAKTAT, KALSİYUM KLORÜR, MAGNEZYUM KLORÜR VE GLUKOZ",Diğer / Sınıflandırılamadı
"ULTRAMEX 100 MG/ML  ORAL DAMLA, çöZELTI",TRAMADOL HIDROKLORüR,Diğer / Sınıflandırılamadı
EMETOL 200 MG KAPLı TABLET,TRIMETOBENZAMID HCL,Diğer / Sınıflandırılamadı
DİFLODOL 50 MG KAPLı TABLET,DIKLOFENAK POTASYUM,Diğer / Sınıflandırılamadı
BONZOLEN 4 MG / 5 ML I.V. INFüZYON IçIN KONSANTRE çöZELTI IçEREN FLAKON,ZOLEDRONIK ASIT MONOHIDRAT,Diğer / Sınıflandırılamadı
LAPİLORİ 15 MG MİKROPELLET KAPSÜL,LANSOPRAZOL,Mide
LAPİLORİ 30 MG MİKROPELLET KAPSÜL,LANSOPRAZOL,Mide
"AZYTER %1,5 GöZ DAMLASı, ÇöZELTI",AZITROMISIN DIHIDRAT,Diğer / Sınıflandırılamadı
TİNEAX 80 MG/G TIRNAK CİLASI SETİ (Ü.Y: TOPRAK İLAÇ),SİKLOPİROKS,Diğer / Sınıflandırılamadı
ANTİ-SKAB %5 LOSYON,PERMETRİN,Diğer / Sınıflandırılamadı
PENTAL SODYUM 1 G ENJEKSIYONLUK ÇöZELTI İçIN TOZ,TIYOPENTAL SODYUM,Diğer / Sınıflandırılamadı
PENTAL SODYUM 0.5 G ENJEKSIYONLUK ÇöZELTI İçIN TOZ,TIYOPENTAL SODYUM,Diğer / Sınıflandırılamadı
ROSTALEPT 4 MG FILM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
ALFASID 250/125 MG IM ENJEKSIYON İçIN TOZ  İçEREN FLAKON,AMPISILIN SODYUM / SULBAKTAM SODYUM,Diğer / Sınıflandırılamadı
ALFASID 250/125 MG IM/IV ENJEKSIYON İçIN  TOZ İçEREN FLAKON,AMPISILIN SODYUM / SULBAKTAM SODYUM,Diğer / Sınıflandırılamadı
ALFASID 500/250 MG IM ENJEKSIYON İçIN TOZ  İçEREN FLAKON,AMPISILIN SODYUM /  SULBAKTAM SODYUM,Diğer / Sınıflandırılamadı
ALFASID 500/250 MG IM/IV ENJEKSIYON İçIN TOZ  İçEREN FLAKON,AMPISILIN SODYUM / SULBAKTAM SODYUM,Diğer / Sınıflandırılamadı
ALFASID 1000/500 MG IM ENJEKSIYON İçIN TOZ  İçEREN FLAKON,AMPISILIN SODYUM / SULBAKTAM SODYUM,Diğer / Sınıflandırılamadı
ALFASID  1000/500 MG IM/IV ENJEKSIYON İçIN TOZ  İçEREN FLAKON,AMPISILIN SODYUM / SULBAKTAM SODYUM,Diğer / Sınıflandırılamadı
FUROJECT 20MG/2ML IM/IV ENJEKSİYONLUK ÇÖZELTİ,FUROSEMID,Diğer / Sınıflandırılamadı
OLVIN 1 MG/ML DOZ AYARLı BURUN SPREYI,KSILOMETAZOLIN HIDROKLORüR,Diğer / Sınıflandırılamadı
VILATIN 50 MG TABLET,VILDAGLIPTIN,Diğer / Sınıflandırılamadı
GYNO-FEM 600 MG VAJINAL  YUMUşAK KAPSüL,FENTIKONAZOL NITRAT,Diğer / Sınıflandırılamadı
"BETASALİC % 0,05+% 2 LOSYON","BETAMETAZON DİPROPİYONAT,  SALİSİLİK ASİT",Diğer / Sınıflandırılamadı
XALFU XL 10 MG UZATILMIŞ SALIMLI TABLET,ALFUZOSİN HİDROKLORÜR,Diğer / Sınıflandırılamadı
"LOCASALENE 0,2MG/G+30MG/G MERHEM",FLUMETAZON PIVALAT+SALISILIK ASIT,Diğer / Sınıflandırılamadı
CALCIDAY G 1000MG/800IU/50 MG EFERVESAN TABLET,KALSIYUM VITAMIN D3 GENISTEIN,Diğer / Sınıflandırılamadı
GRİZİNC 15 MG/ 5 ML ŞURUP,ÇINKO SÜLFAT,Diğer / Sınıflandırılamadı
NEOFLEKS %5 DEKSTROZ SUDAKI  ÇÖZELTİSİ,DEKSTROZ ANHİDRAT,Diğer / Sınıflandırılamadı
ZİNXX 30 MG FİLM TABLET,ÇİNKO SÜLFAT HEPTAHİDRAT,Diğer / Sınıflandırılamadı
ZİNXX 15 MG/5 ML ŞURUP,ÇİNKO SÜLFAT HEPTAHİDRAT,Diğer / Sınıflandırılamadı
ROSTALEPT 2 MG FILM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
COLITIM  150  MG  IM/IV  ENJEKSIYONLUK  VE  İNHALASYONLUK  ÇöZELTI  HAZıRLAMAK  İçIN  LIYOFILIZE  TOZ  VE  ÇöZüCü,KOLISTIMETAT SODYUM,Diğer / Sınıflandırılamadı
SOLUVİT-N İNFÜZYONLUK ÇÖZELTİ TOZU,"VİTAMİN B12, VİTAMİN B6, VİTAMİN B2, VİTAMİN B1, BİOTİN, FOLİK ASİT, VİTAMİN C,  PANTOTENİK ASİT, GLİSİN",Diğer / Sınıflandırılamadı
SİSTECS 300 MG/3 ML ÇöZELTI,ASETILSISTEIN,Diğer / Sınıflandırılamadı
ZİNXX FORT 30 MG/5ML ŞURUP,ÇINKO SüLFAT HEPTAHIDRAT,Diğer / Sınıflandırılamadı
PENEREM 1000 MG I.V. ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ,MEROPENEM TRIHIDRAT,Diğer / Sınıflandırılamadı
PENEREM 500 MG I.V. ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI HAZıRLAMAK İçIN TOZ,MEROPENEM TRIHIDRAT,Diğer / Sınıflandırılamadı
ROSTALEPT 1 MG FILM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
ZEVESIN 10MG FILM TABLET,SEFUROKSIM SODYUM,Diğer / Sınıflandırılamadı
ROSTALEPT 3 MG FILM TABLET,RISPERIDON,Diğer / Sınıflandırılamadı
METHOTREXATE KOÇAK 500MG/20ML ENJEKSIYONLUK ÇÖZELTI İÇEREN FLAKON,METOTREKSAT,Diğer / Sınıflandırılamadı
"NERISONA C %0,1 + % 1  KREM",DIFLUKORTOLON+KLORKINALDOL,Diğer / Sınıflandırılamadı
ROXİPİME 0.5G İ.M./İ.V. ENJEKSİYON VE İNFÜZYON İÇİN TOZ İÇEREN FLAKON,SEFEPİM HİDROKLORÜR,Diğer / Sınıflandırılamadı
EMOJECT 10 MG/2 ML IM/IV ENJEKSIYONLUK ÇöZELTI,METOKLOPRAMID HIDROKLORüR,Diğer / Sınıflandırılamadı
TURKTIPSAN METOKLOPRAMİD HİDROKLORÜR 10 MG / 2 ML ENJEKSIYONLUK ÇöZELTI,METOKLOPRAMID HIDROKLORüR,Diğer / Sınıflandırılamadı
VERRUTOL %0.5+%10 DERI çöZELTISI,"FLOROURASIL,SALISILIK ASIT",Diğer / Sınıflandırılamadı
İBUTRİT 400 MG FILM TABLET,İBUPROFEN,Ağrı Kesici
GERALGİNE-P 120MG/5ML  PEDİYATRİK ORAL ÇÖZELTİ,PARASETAMOL,Ağrı Kesici
ERIOLAN  50  MG  ENJEKSIYONLUK/İNFüZYONLUK ÇöZELTI İçIN LIYOFILIZE TOZ VE ÇöZüCü,MELFALAN HİDROKLORÜR,Diğer / Sınıflandırılamadı
"PREDNOL %0,125 KREM",PREDNASINOLON/İYODOKLORHIDROSIKIN,Diğer / Sınıflandırılamadı
BEKORTEN TABLET,BETAMETAZON,Diğer / Sınıflandırılamadı
NOREFRİN AMPUL,1-NORADRENALIN BITARTARAT,Diğer / Sınıflandırılamadı
"OBRAMİS %0.3 GöZ DAMLASı, çöZELTI",TOBRAMISIN,Diğer / Sınıflandırılamadı
ÜLSETIDIN 40 MG FILM  KAPLı TABLET,FAMOTIDIN,Diğer / Sınıflandırılamadı
